
<<START>>,<<FMS_INVOICE_MST>>,,,, 	(13-MAY-2025 11:46:52)
 
ABBR,CONT_TYPE,SEQ_NO,TIMESTAMP
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
NTPC,K,, 	(13-MAY-2025 11:46:55)
