
<<START>>,<<FMS_COUNTERPARTY_PLANT_TAX>>,,,, 	(21-FEB-2025 09:57:38)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_NM,TIMESTAMP
ESL,7,C,1,GST TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,3,PAN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,4,CST TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,4,PAN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,6,PAN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,3,CST TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
NTPC,8,C,5,PAN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,6,GSTIN, 	(21-FEB-2025 09:57:39)
NTPC,8,C,6,CST TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,2,CST TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,5,CST TIN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,5,GSTIN, 	(21-FEB-2025 09:57:39)
NTPC,8,C,2,PAN No., 	(21-FEB-2025 09:57:39)
NTPC,8,C,2,GSTIN, 	(21-FEB-2025 09:57:39)
NTPC,8,C,3,GSTIN, 	(21-FEB-2025 09:57:39)
KRIBHCO,9,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:39)
KRIBHCO,9,C,1,PAN No., 	(21-FEB-2025 09:57:39)
KRIBHCO,9,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
DFPCL,10,C,1,VAT TIN No., 	(21-FEB-2025 09:57:39)
DFPCL,10,C,1,PAN No., 	(21-FEB-2025 09:57:39)
DFPCL,10,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
DFPCL,10,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
AIGL,11,C,1,PAN No., 	(21-FEB-2025 09:57:39)
AIGL,11,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
AIGL,11,C,1,VAT TIN No., 	(21-FEB-2025 09:57:39)
AIGL,11,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
KSFL,13,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
NPL,15,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
SIGIL,16,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
VIL,17,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
TPL,20,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
TPL,20,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
TPL,20,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
TPL,20,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:39)
TPL,20,C,1,PAN No., 	(21-FEB-2025 09:57:39)
MNGL,22,C,1,VAT TIN No., 	(21-FEB-2025 09:57:39)
MNGL,22,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
MNGL,22,C,1,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,2,CST TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,4,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,1,VAT TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,3,CST TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,5,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,2,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,2,GSTIN, 	(21-FEB-2025 09:57:39)
IGL,23,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
IGL,23,C,6,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,6,CST TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,3,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
IGL,23,C,5,CST TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,5,GSTIN, 	(21-FEB-2025 09:57:39)
IGL,23,C,1,PAN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,2,VAT TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,3,GVAT TIN No., 	(21-FEB-2025 09:57:39)
IGL,23,C,4,CST TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,3,VAT TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
BPCL,24,C,1,VAT TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,3,CST TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,4,VAT TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,3,PAN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,3,GSTIN, 	(21-FEB-2025 09:57:39)
BPCL,24,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
BPCL,24,C,4,CST TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
BPCL,24,C,1,PAN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,2,CST TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,2,VAT TIN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,2,PAN No., 	(21-FEB-2025 09:57:39)
BPCL,24,C,4,PAN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,2,PAN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,3,VAT TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,4,PAN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,1,PAN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
HPCL,26,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
HPCL,26,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,3,PAN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
HPCL,26,C,1,VAT TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
HPCL,26,C,5,GSTIN, 	(21-FEB-2025 09:57:39)
HPCL,26,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,4,GVAT TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,5,PAN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,2,GSTIN, 	(21-FEB-2025 09:57:39)
HPCL,26,C,4,CST TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,2,CST TIN No., 	(21-FEB-2025 09:57:39)
HPCL,26,C,5,CST TIN No., 	(21-FEB-2025 09:57:39)
GSFC,29,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:39)
GSFC,29,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
GSFC,29,C,1,PAN No., 	(21-FEB-2025 09:57:39)
GSFC,29,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:39)
GSFC,29,C,2,PAN No., 	(21-FEB-2025 09:57:40)
GSFC,29,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
H-Energy,30,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
H-Energy,30,C,1,PAN No., 	(21-FEB-2025 09:57:40)
H-Energy,30,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
H-Energy,30,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:40)
H-Energy,30,C,2,PAN No., 	(21-FEB-2025 09:57:40)
H-Energy,30,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
SIMPL,31,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
SIMPL,31,C,1,CST TIN No., 	(21-FEB-2025 09:57:40)
SIMPL,31,C,1,PAN No., 	(21-FEB-2025 09:57:40)
SIMPL,31,C,2,PAN No., 	(21-FEB-2025 09:57:40)
ATGL,32,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
ATGL,32,C,2,VAT TIN No., 	(21-FEB-2025 09:57:40)
ATGL,32,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
ATGL,32,C,2,PAN No., 	(21-FEB-2025 09:57:40)
ATGL,32,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
AMNS,33,C,4,PAN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,1,PAN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,4,CST TIN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,1,Service Tax Registration No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,2,Service Tax Registration No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,4,VAT TIN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,1,GSTIN, 	(21-FEB-2025 09:57:40)
AMNS,33,C,2,PAN No., 	(21-FEB-2025 09:57:40)
AMNS,33,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
AMNS,33,T,1,PAN No., 	(21-FEB-2025 09:57:40)
AMNS,33,T,2,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,2,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,5,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,5,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,8,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,9,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,10,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,2,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,3,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,11,GSTIN, 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,1,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,2,GVAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,4,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,8,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,2,GSTIN, 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,6,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,11,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,11,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,3,GSTIN, 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,4,CST TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,4,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,10,PAN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,11,VAT TIN No., 	(21-FEB-2025 09:57:40)
SEMTPL,34,C,6,CST TIN No., 	(21-FEB-2025 09:57:40)
