
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(28-APR-2025 13:49:32)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
11012,null,null,03/06/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11012,null,null,03/06/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11013,null,null,05/07/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11013,null,null,05/07/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11014,null,null,11/09/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11014,null,null,11/09/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11015,null,null,18/10/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11015,null,null,18/10/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11016,null,null,02/12/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11016,null,null,02/12/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11011,null,null,22/04/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11012,null,null,03/06/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11013,null,null,05/07/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11014,null,null,11/09/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11015,null,null,18/10/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11016,null,null,02/12/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11011,null,null,23/04/2013 00:00:00,As per Excel calculation, 	(28-APR-2025 13:49:36)
11012,null,null,03/06/2013 00:00:00,This is as per the amount paid as per EDI System calculation, 	(28-APR-2025 13:49:36)
11013,null,null,05/07/2013 00:00:00,This is the exact amount paid as custom duty as per EDI system., 	(28-APR-2025 13:49:36)
11014,null,null,11/09/2013 00:00:00,Roundedupto to tally teh excel value with teh value paid as per EDI System., 	(28-APR-2025 13:49:36)
11015,null,null,18/10/2013 00:00:00,The excel calculation is matched with the PD Bond value, 	(28-APR-2025 13:49:36)
11016,null,null,02/12/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
