

<<START>>,<<FMS_AGMT_MST>>,,, 	(28-APR-2025 11:36:28)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
GSPCL,3,F,1,2,GSPL,1, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,2,GSPL,2, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,2,GSPL,3, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,2,GSPL,4, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,3,GSPL,1, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,3,GSPL,2, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,3,GSPL,3, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,3,GSPL,4, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
GSPCL,3,F,2,0,GSPL,1, 	(28-APR-2025 11:36:41)
GSPCL,3,F,2,0,GSPL,2, 	(28-APR-2025 11:36:41)
GSPCL,3,F,2,0,GSPL,3, 	(28-APR-2025 11:36:41)
GSPCL,3,F,2,0,GSPL,4, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,1, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,2, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,3, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,4, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,5, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,6, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,7, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,8, 	(28-APR-2025 11:36:41)
Gail,4,F,2,1,Gail,9, 	(28-APR-2025 11:36:41)
BPL,5,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
BPL,5,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
BPL,5,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
BPL,5,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
EPL,6,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
EPL,6,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
EPL,6,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
EPL,6,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
ESL,7,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
ESL,7,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
ESL,7,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
ESL,7,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,1, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,2, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,3, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,4, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,5, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,6, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,7, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,8, 	(28-APR-2025 11:36:41)
DFPCL,10,F,2,0,Gail,9, 	(28-APR-2025 11:36:41)
ESEZ,12,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
ESEZ,12,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
ESEZ,12,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
ESEZ,12,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
GGCL,19,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
GGCL,19,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
GGCL,19,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
GGCL,19,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
TPL,20,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
TPL,20,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
TPL,20,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
TPL,20,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,1, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,2, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,3, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,4, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,5, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,6, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,1, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,8, 	(28-APR-2025 11:36:41)
IGL,23,F,2,0,Gail,9, 	(28-APR-2025 11:36:41)
BPCL,24,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
BPCL,24,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
BPCL,24,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
BPCL,24,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
TEL,25,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
TEL,25,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
TEL,25,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
TEL,25,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,2, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,3, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,5, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,6, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,7, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,PipeInfra,8, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,1,GSPL,1, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,1,GSPL,2, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,1,GSPL,3, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,1,GSPL,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,2,GSPL,1, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,2,GSPL,2, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,2,GSPL,3, 	(28-APR-2025 11:36:41)
HPCL,26,F,1,2,GSPL,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,GSPL,1, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,GSPL,2, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,GSPL,3, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,GSPL,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,1, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,2, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,3, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,4, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,5, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,6, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,7, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,8, 	(28-APR-2025 11:36:41)
HPCL,26,F,2,0,Gail,9, 	(28-APR-2025 11:36:41)
H-Energy,30,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
H-Energy,30,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
H-Energy,30,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
H-Energy,30,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
SIMPL,31,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
SIMPL,31,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
SIMPL,31,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
SIMPL,31,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,3, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
ATGL,32,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
AMNS,33,F,2,0,GSPL,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,2,0,GSPL,2, 	(28-APR-2025 11:36:41)
AMNS,33,F,2,0,GSPL,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,2,0,GSPL,4, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,2, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,4, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,5, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,6, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,7, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,PipeInfra,8, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
AMNS,33,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,3, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,2, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,3, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,4, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,5, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,6, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,7, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,PipeInfra,8, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
SEMTPL,34,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
SGIPL,35,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
SGIPL,35,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
SGIPL,35,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
SGIPL,35,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
VGL,36,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
VGL,36,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
VGL,36,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
VGL,36,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,3, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,3, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
PGPGPL,37,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,2, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,3, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,4, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,5, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,6, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,7, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,8, 	(28-APR-2025 11:36:41)
HCG,38,F,1,0,Gail,9, 	(28-APR-2025 11:36:41)
GGL,39,F,1,0,Gail,1, 	(28-APR-2025 11:36:41)
