

<<START>>,<<FMS_AGMT_MST>>,,, 	(04-JUN-2025 15:52:01)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
GSPCL,3,F,1,2,GSPL,1, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,2,GSPL,2, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,2,GSPL,3, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,2,GSPL,4, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,3,GSPL,1, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,3,GSPL,2, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,3,GSPL,3, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,3,GSPL,4, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,2,0,GSPL,1, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,2,0,GSPL,2, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,2,0,GSPL,3, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,2,0,GSPL,4, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,1, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,2, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,3, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,4, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,5, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,6, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,7, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,8, 	(04-JUN-2025 15:52:03)
Gail,4,F,2,1,Gail,9, 	(04-JUN-2025 15:52:03)
BPL,5,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
BPL,5,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
BPL,5,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
BPL,5,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
EPL,6,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
EPL,6,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
EPL,6,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
EPL,6,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
ESL,7,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
ESL,7,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
ESL,7,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
ESL,7,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,1, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,2, 	(04-JUN-2025 15:52:03)
DFPCL,10,F,2,0,Gail,3, 	(04-JUN-2025 15:52:03)
