

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(01-MAR-2025 15:51:57)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
YARALTD , 133 , 1 , C ,  	(01-MAR-2025 15:51:59)
INPEROX , 134 , 1 , C ,  	(01-MAR-2025 15:51:59)
RAFECHL , 135 , 1 , C ,  	(01-MAR-2025 15:51:59)
MGRPL , 136 , 1 , C ,  	(01-MAR-2025 15:51:59)
MGRPL , 136 , 2 , T ,  	(01-MAR-2025 15:51:59)
CNTENKA , 137 , 1 , C ,  	(01-MAR-2025 15:51:59)
EFSPL , 138 , 1 , C ,  	(01-MAR-2025 15:51:59)
EFSPL , 138 , 2 , T ,  	(01-MAR-2025 15:51:59)
HINDURV , 140 , 1 , C ,  	(01-MAR-2025 15:51:59)
HCGPUTE , 142 , 1 , C ,  	(01-MAR-2025 15:51:59)
GOAGLSF , 143 , 1 , C ,  	(01-MAR-2025 15:51:59)
IGSPL , 144 , 1 , C ,  	(01-MAR-2025 15:51:59)
IGSPL , 144 , 2 , T ,  	(01-MAR-2025 15:51:59)
PEFORCV , 146 , 1 , C ,  	(01-MAR-2025 15:51:59)
BHEL , 155 , 1 , C ,  	(01-MAR-2025 15:51:59)
COMFIND , 159 , 1 , C ,  	(01-MAR-2025 15:51:59)
DCMSHRI , 160 , 1 , C ,  	(01-MAR-2025 15:51:59)
HOECLTD , 182 , 1 , C ,  	(01-MAR-2025 15:51:59)
HOECLTD , 182 , 2 , T ,  	(01-MAR-2025 15:51:59)
HINAGIL , 184 , 1 , C ,  	(01-MAR-2025 15:51:59)
HPOIGAS , 188 , 1 , C ,  	(01-MAR-2025 15:51:59)
MANIKAR , 196 , 1 , C ,  	(01-MAR-2025 15:51:59)
ESSAREX , 208 , 1 , T ,  	(01-MAR-2025 15:51:59)
NEL , 209 , 1 , C ,  	(01-MAR-2025 15:51:59)
TASTELI , 238 , 1 , C ,  	(01-MAR-2025 15:51:59)
HMEL , 239 , 1 , C ,  	(01-MAR-2025 15:51:59)
DIL , 240 , 1 , T ,  	(01-MAR-2025 15:51:59)
BOROREN , 241 , 1 , C ,  	(01-MAR-2025 15:51:59)
KINGASP , 242 , 1 , C ,  	(01-MAR-2025 15:51:59)
RATNAGI , 245 , 1 , C ,  	(01-MAR-2025 15:51:59)
IDOINVA , 247 , 1 , C ,  	(01-MAR-2025 15:51:59)
IDOINVA , 248 , 1 , C ,  	(01-MAR-2025 15:51:59)
AGPCGIN , 250 , 1 , C ,  	(01-MAR-2025 15:51:59)
NESTLIN , 251 , 1 , C ,  	(01-MAR-2025 15:51:59)
SITMEFZ , 252 , 1 , T ,  	(01-MAR-2025 15:51:59)
VISHPRI , 253 , 1 , C ,  	(01-MAR-2025 15:51:59)
SOMANY , 255 , 1 , C ,  	(01-MAR-2025 15:51:59)
